group1,group2,meandiff,lower,upper,reject
Discourage distractions,Discuss how to give feedback,-0.0252,-0.3682,0.3177,False
Discourage distractions,Document feedback,-0.694,-1.037,-0.351,True
Discourage distractions,Evaluate client performance,-1.2997,-1.6427,-0.9567,True
Discourage distractions,Evaluate supervisee performance,-1.1672,-1.5102,-0.8242,True
Discourage distractions,Group supervision,-2.0568,-2.3998,-1.7138,True
Discourage distractions,Immediate feedback,-0.2681,-0.6111,0.0748,False
Discourage distractions,Include ethics,0.1293,-0.2136,0.4723,False
Discourage distractions,Instructions and demonstration,-0.0095,-0.3524,0.3335,False
Discourage distractions,Literature for new competency,-0.5174,-0.8603,-0.1744,True
Discourage distractions,Maintain positive rapport,0.3218,-0.0212,0.6647,False
Discourage distractions,Meeting notes,-1.0095,-1.3524,-0.6665,True
Discourage distractions,Observe body language,-0.1451,-0.4881,0.1979,False
Discourage distractions,Participate in peer review,-1.2367,-1.6581,-0.8153,True
Discourage distractions,Peer evaluate,-2.3186,-2.6616,-1.9756,True
Discourage distractions,Performance expectations,0.0158,-0.3272,0.3587,False
Discourage distractions,Positive and corrective feedback,0.183,-0.16,0.5259,False
Discourage distractions,Practice skill set,-0.4732,-0.8162,-0.1302,True
Discourage distractions,Professional groups,-1.653,-1.996,-1.31,True
Discourage distractions,Return communications within 48,0.2713,-0.0717,0.6143,False
Discourage distractions,Review literature,-0.2587,-0.6016,0.0843,False
Discourage distractions,Review supervision contract,0.1546,-0.1884,0.4975,False
Discourage distractions,Schedule contacts,-0.1861,-0.5291,0.1569,False
Discourage distractions,Schedule direct observations,0.0852,-0.2578,0.4281,False
Discourage distractions,Schedule standing appointments,-0.3312,-0.6742,0.0117,False
Discourage distractions,Seek mentorship,-0.8801,-1.2231,-0.5372,True
Discourage distractions,Self-assess interpersonal skills,-0.0505,-0.3934,0.2925,False
Discourage distractions,Send agenda,-1.9054,-2.2483,-1.5624,True
Discourage distractions,Supervision fidelity,-1.7918,-2.1348,-1.4488,True
Discourage distractions,Supervision schedule,-1.2334,-1.5764,-0.8905,True
Discourage distractions,Supervision termination clause,0.3281,-0.0149,0.671,False
Discourage distractions,Supervisory study groups,-2.1798,-2.5228,-1.8368,True
Discourage distractions,Take baseline,-1.3407,-1.6837,-0.9977,True
Discourage distractions,Training and supervision,-0.0337,-0.5974,0.53,False
Discourage distractions,Written evaluation system,-0.8644,-1.2073,-0.5214,True
Discourage distractions,Written supervision contract,0.3596,0.0167,0.7026,True
Discuss how to give feedback,Document feedback,-0.6688,-1.0117,-0.3258,True
Discuss how to give feedback,Evaluate client performance,-1.2744,-1.6174,-0.9315,True
Discuss how to give feedback,Evaluate supervisee performance,-1.142,-1.4849,-0.799,True
Discuss how to give feedback,Group supervision,-2.0315,-2.3745,-1.6886,True
Discuss how to give feedback,Immediate feedback,-0.2429,-0.5859,0.1001,False
Discuss how to give feedback,Include ethics,0.1546,-0.1884,0.4975,False
Discuss how to give feedback,Instructions and demonstration,0.0158,-0.3272,0.3587,False
Discuss how to give feedback,Literature for new competency,-0.4921,-0.8351,-0.1491,True
Discuss how to give feedback,Maintain positive rapport,0.347,0.004,0.69,True
Discuss how to give feedback,Meeting notes,-0.9842,-1.3272,-0.6413,True
Discuss how to give feedback,Observe body language,-0.1199,-0.4628,0.2231,False
Discuss how to give feedback,Participate in peer review,-1.2114,-1.6328,-0.7901,True
Discuss how to give feedback,Peer evaluate,-2.2934,-2.6363,-1.9504,True
Discuss how to give feedback,Performance expectations,0.041,-0.302,0.384,False
Discuss how to give feedback,Positive and corrective feedback,0.2082,-0.1348,0.5512,False
Discuss how to give feedback,Practice skill set,-0.4479,-0.7909,-0.105,True
Discuss how to give feedback,Professional groups,-1.6278,-1.9707,-1.2848,True
Discuss how to give feedback,Return communications within 48,0.2965,-0.0464,0.6395,False
Discuss how to give feedback,Review literature,-0.2334,-0.5764,0.1095,False
Discuss how to give feedback,Review supervision contract,0.1798,-0.1632,0.5228,False
Discuss how to give feedback,Schedule contacts,-0.1609,-0.5039,0.1821,False
Discuss how to give feedback,Schedule direct observations,0.1104,-0.2326,0.4534,False
Discuss how to give feedback,Schedule standing appointments,-0.306,-0.649,0.037,False
Discuss how to give feedback,Seek mentorship,-0.8549,-1.1979,-0.5119,True
Discuss how to give feedback,Self-assess interpersonal skills,-0.0252,-0.3682,0.3177,False
Discuss how to give feedback,Send agenda,-1.8801,-2.2231,-1.5372,True
Discuss how to give feedback,Supervision fidelity,-1.7666,-2.1095,-1.4236,True
Discuss how to give feedback,Supervision schedule,-1.2082,-1.5512,-0.8652,True
Discuss how to give feedback,Supervision termination clause,0.3533,0.0103,0.6963,True
Discuss how to give feedback,Supervisory study groups,-2.1546,-2.4975,-1.8116,True
Discuss how to give feedback,Take baseline,-1.3155,-1.6584,-0.9725,True
Discuss how to give feedback,Training and supervision,-0.0085,-0.5722,0.5552,False
Discuss how to give feedback,Written evaluation system,-0.8391,-1.1821,-0.4961,True
Discuss how to give feedback,Written supervision contract,0.3849,0.0419,0.7278,True
Document feedback,Evaluate client performance,-0.6057,-0.9486,-0.2627,True
Document feedback,Evaluate supervisee performance,-0.4732,-0.8162,-0.1302,True
Document feedback,Group supervision,-1.3628,-1.7057,-1.0198,True
Document feedback,Immediate feedback,0.4259,0.0829,0.7688,True
Document feedback,Include ethics,0.8233,0.4804,1.1663,True
Document feedback,Instructions and demonstration,0.6845,0.3416,1.0275,True
Document feedback,Literature for new competency,0.1767,-0.1663,0.5196,False
Document feedback,Maintain positive rapport,1.0158,0.6728,1.3587,True
Document feedback,Meeting notes,-0.3155,-0.6584,0.0275,False
Document feedback,Observe body language,0.5489,0.2059,0.8919,True
Document feedback,Participate in peer review,-0.5427,-0.9641,-0.1213,True
Document feedback,Peer evaluate,-1.6246,-1.9676,-1.2816,True
Document feedback,Performance expectations,0.7098,0.3668,1.0527,True
Document feedback,Positive and corrective feedback,0.877,0.534,1.2199,True
Document feedback,Practice skill set,0.2208,-0.1222,0.5638,False
Document feedback,Professional groups,-0.959,-1.302,-0.616,True
Document feedback,Return communications within 48,0.9653,0.6223,1.3083,True
Document feedback,Review literature,0.4353,0.0924,0.7783,True
Document feedback,Review supervision contract,0.8486,0.5056,1.1916,True
Document feedback,Schedule contacts,0.5079,0.1649,0.8509,True
Document feedback,Schedule direct observations,0.7792,0.4362,1.1222,True
Document feedback,Schedule standing appointments,0.3628,0.0198,0.7057,True
Document feedback,Seek mentorship,-0.1861,-0.5291,0.1569,False
Document feedback,Self-assess interpersonal skills,0.6435,0.3006,0.9865,True
Document feedback,Send agenda,-1.2114,-1.5543,-0.8684,True
Document feedback,Supervision fidelity,-1.0978,-1.4408,-0.7548,True
Document feedback,Supervision schedule,-0.5394,-0.8824,-0.1965,True
Document feedback,Supervision termination clause,1.0221,0.6791,1.3651,True
Document feedback,Supervisory study groups,-1.4858,-1.8288,-1.1428,True
Document feedback,Take baseline,-0.6467,-0.9897,-0.3037,True
Document feedback,Training and supervision,0.6603,0.0966,1.224,True
Document feedback,Written evaluation system,-0.1703,-0.5133,0.1726,False
Document feedback,Written supervision contract,1.0536,0.7107,1.3966,True
Evaluate client performance,Evaluate supervisee performance,0.1325,-0.2105,0.4755,False
Evaluate client performance,Group supervision,-0.7571,-1.1001,-0.4141,True
Evaluate client performance,Immediate feedback,1.0315,0.6886,1.3745,True
Evaluate client performance,Include ethics,1.429,1.0861,1.772,True
Evaluate client performance,Instructions and demonstration,1.2902,0.9473,1.6332,True
Evaluate client performance,Literature for new competency,0.7823,0.4394,1.1253,True
Evaluate client performance,Maintain positive rapport,1.6215,1.2785,1.9644,True
Evaluate client performance,Meeting notes,0.2902,-0.0527,0.6332,False
Evaluate client performance,Observe body language,1.1546,0.8116,1.4975,True
Evaluate client performance,Participate in peer review,0.063,-0.3584,0.4844,False
Evaluate client performance,Peer evaluate,-1.0189,-1.3619,-0.676,True
Evaluate client performance,Performance expectations,1.3155,0.9725,1.6584,True
Evaluate client performance,Positive and corrective feedback,1.4826,1.1397,1.8256,True
Evaluate client performance,Practice skill set,0.8265,0.4835,1.1695,True
Evaluate client performance,Professional groups,-0.3533,-0.6963,-0.0103,True
Evaluate client performance,Return communications within 48,1.571,1.228,1.9139,True
Evaluate client performance,Review literature,1.041,0.698,1.384,True
Evaluate client performance,Review supervision contract,1.4543,1.1113,1.7972,True
Evaluate client performance,Schedule contacts,1.1136,0.7706,1.4565,True
Evaluate client performance,Schedule direct observations,1.3849,1.0419,1.7278,True
Evaluate client performance,Schedule standing appointments,0.9685,0.6255,1.3114,True
Evaluate client performance,Seek mentorship,0.4196,0.0766,0.7625,True
Evaluate client performance,Self-assess interpersonal skills,1.2492,0.9062,1.5922,True
Evaluate client performance,Send agenda,-0.6057,-0.9486,-0.2627,True
Evaluate client performance,Supervision fidelity,-0.4921,-0.8351,-0.1491,True
Evaluate client performance,Supervision schedule,0.0662,-0.2767,0.4092,False
Evaluate client performance,Supervision termination clause,1.6278,1.2848,1.9707,True
Evaluate client performance,Supervisory study groups,-0.8801,-1.2231,-0.5372,True
Evaluate client performance,Take baseline,-0.041,-0.384,0.302,False
Evaluate client performance,Training and supervision,1.2659,0.7022,1.8297,True
Evaluate client performance,Written evaluation system,0.4353,0.0924,0.7783,True
Evaluate client performance,Written supervision contract,1.6593,1.3163,2.0023,True
Evaluate supervisee performance,Group supervision,-0.8896,-1.2326,-0.5466,True
Evaluate supervisee performance,Immediate feedback,0.8991,0.5561,1.242,True
Evaluate supervisee performance,Include ethics,1.2965,0.9536,1.6395,True
Evaluate supervisee performance,Instructions and demonstration,1.1577,0.8148,1.5007,True
Evaluate supervisee performance,Literature for new competency,0.6498,0.3069,0.9928,True
Evaluate supervisee performance,Maintain positive rapport,1.489,1.146,1.8319,True
Evaluate supervisee performance,Meeting notes,0.1577,-0.1852,0.5007,False
Evaluate supervisee performance,Observe body language,1.0221,0.6791,1.3651,True
Evaluate supervisee performance,Participate in peer review,-0.0695,-0.4909,0.3519,False
Evaluate supervisee performance,Peer evaluate,-1.1514,-1.4944,-0.8084,True
Evaluate supervisee performance,Performance expectations,1.183,0.84,1.5259,True
Evaluate supervisee performance,Positive and corrective feedback,1.3502,1.0072,1.6931,True
Evaluate supervisee performance,Practice skill set,0.694,0.351,1.037,True
Evaluate supervisee performance,Professional groups,-0.4858,-0.8288,-0.1428,True
Evaluate supervisee performance,Return communications within 48,1.4385,1.0955,1.7815,True
Evaluate supervisee performance,Review literature,0.9085,0.5655,1.2515,True
Evaluate supervisee performance,Review supervision contract,1.3218,0.9788,1.6647,True
Evaluate supervisee performance,Schedule contacts,0.9811,0.6381,1.324,True
Evaluate supervisee performance,Schedule direct observations,1.2524,0.9094,1.5953,True
Evaluate supervisee performance,Schedule standing appointments,0.836,0.493,1.1789,True
Evaluate supervisee performance,Seek mentorship,0.2871,-0.0559,0.63,False
Evaluate supervisee performance,Self-assess interpersonal skills,1.1167,0.7737,1.4597,True
Evaluate supervisee performance,Send agenda,-0.7382,-1.0811,-0.3952,True
Evaluate supervisee performance,Supervision fidelity,-0.6246,-0.9676,-0.2816,True
Evaluate supervisee performance,Supervision schedule,-0.0662,-0.4092,0.2767,False
Evaluate supervisee performance,Supervision termination clause,1.4953,1.1523,1.8382,True
Evaluate supervisee performance,Supervisory study groups,-1.0126,-1.3556,-0.6696,True
Evaluate supervisee performance,Take baseline,-0.1735,-0.5165,0.1695,False
Evaluate supervisee performance,Training and supervision,1.1335,0.5698,1.6972,True
Evaluate supervisee performance,Written evaluation system,0.3028,-0.0401,0.6458,False
Evaluate supervisee performance,Written supervision contract,1.5268,1.1838,1.8698,True
Group supervision,Immediate feedback,1.7886,1.4457,2.1316,True
Group supervision,Include ethics,2.1861,1.8431,2.5291,True
Group supervision,Instructions and demonstration,2.0473,1.7043,2.3903,True
Group supervision,Literature for new competency,1.5394,1.1965,1.8824,True
Group supervision,Maintain positive rapport,2.3785,2.0356,2.7215,True
Group supervision,Meeting notes,1.0473,0.7043,1.3903,True
Group supervision,Observe body language,1.9117,1.5687,2.2546,True
Group supervision,Participate in peer review,0.8201,0.3987,1.2415,True
Group supervision,Peer evaluate,-0.2618,-0.6048,0.0811,False
Group supervision,Performance expectations,2.0726,1.7296,2.4155,True
Group supervision,Positive and corrective feedback,2.2397,1.8968,2.5827,True
Group supervision,Practice skill set,1.5836,1.2406,1.9266,True
Group supervision,Professional groups,0.4038,0.0608,0.7468,True
Group supervision,Return communications within 48,2.3281,1.9851,2.671,True
Group supervision,Review literature,1.7981,1.4551,2.1411,True
Group supervision,Review supervision contract,2.2114,1.8684,2.5543,True
Group supervision,Schedule contacts,1.8707,1.5277,2.2136,True
Group supervision,Schedule direct observations,2.142,1.799,2.4849,True
Group supervision,Schedule standing appointments,1.7256,1.3826,2.0685,True
Group supervision,Seek mentorship,1.1767,0.8337,1.5196,True
Group supervision,Self-assess interpersonal skills,2.0063,1.6633,2.3493,True
Group supervision,Send agenda,0.1514,-0.1916,0.4944,False
Group supervision,Supervision fidelity,0.265,-0.078,0.608,False
Group supervision,Supervision schedule,0.8233,0.4804,1.1663,True
Group supervision,Supervision termination clause,2.3849,2.0419,2.7278,True
Group supervision,Supervisory study groups,-0.123,-0.466,0.2199,False
Group supervision,Take baseline,0.7161,0.3731,1.0591,True
Group supervision,Training and supervision,2.023,1.4593,2.5867,True
Group supervision,Written evaluation system,1.1924,0.8495,1.5354,True
Group supervision,Written supervision contract,2.4164,2.0734,2.7594,True
Immediate feedback,Include ethics,0.3975,0.0545,0.7404,True
Immediate feedback,Instructions and demonstration,0.2587,-0.0843,0.6016,False
Immediate feedback,Literature for new competency,-0.2492,-0.5922,0.0938,False
Immediate feedback,Maintain positive rapport,0.5899,0.2469,0.9329,True
Immediate feedback,Meeting notes,-0.7413,-1.0843,-0.3984,True
Immediate feedback,Observe body language,0.123,-0.2199,0.466,False
Immediate feedback,Participate in peer review,-0.9685,-1.3899,-0.5471,True
Immediate feedback,Peer evaluate,-2.0505,-2.3934,-1.7075,True
Immediate feedback,Performance expectations,0.2839,-0.0591,0.6269,False
Immediate feedback,Positive and corrective feedback,0.4511,0.1081,0.7941,True
Immediate feedback,Practice skill set,-0.205,-0.548,0.1379,False
Immediate feedback,Professional groups,-1.3849,-1.7278,-1.0419,True
Immediate feedback,Return communications within 48,0.5394,0.1965,0.8824,True
Immediate feedback,Review literature,0.0095,-0.3335,0.3524,False
Immediate feedback,Review supervision contract,0.4227,0.0797,0.7657,True
Immediate feedback,Schedule contacts,0.082,-0.261,0.425,False
Immediate feedback,Schedule direct observations,0.3533,0.0103,0.6963,True
Immediate feedback,Schedule standing appointments,-0.0631,-0.4061,0.2799,False
Immediate feedback,Seek mentorship,-0.612,-0.955,-0.269,True
Immediate feedback,Self-assess interpersonal skills,0.2177,-0.1253,0.5606,False
Immediate feedback,Send agenda,-1.6372,-1.9802,-1.2943,True
Immediate feedback,Supervision fidelity,-1.5237,-1.8666,-1.1807,True
Immediate feedback,Supervision schedule,-0.9653,-1.3083,-0.6223,True
Immediate feedback,Supervision termination clause,0.5962,0.2532,0.9392,True
Immediate feedback,Supervisory study groups,-1.9117,-2.2546,-1.5687,True
Immediate feedback,Take baseline,-1.0726,-1.4155,-0.7296,True
Immediate feedback,Training and supervision,0.2344,-0.3293,0.7981,False
Immediate feedback,Written evaluation system,-0.5962,-0.9392,-0.2532,True
Immediate feedback,Written supervision contract,0.6278,0.2848,0.9707,True
Include ethics,Instructions and demonstration,-0.1388,-0.4818,0.2042,False
Include ethics,Literature for new competency,-0.6467,-0.9897,-0.3037,True
Include ethics,Maintain positive rapport,0.1924,-0.1505,0.5354,False
Include ethics,Meeting notes,-1.1388,-1.4818,-0.7958,True
Include ethics,Observe body language,-0.2744,-0.6174,0.0685,False
Include ethics,Participate in peer review,-1.366,-1.7874,-0.9446,True
Include ethics,Peer evaluate,-2.4479,-2.7909,-2.105,True
Include ethics,Performance expectations,-0.1136,-0.4565,0.2294,False
Include ethics,Positive and corrective feedback,0.0536,-0.2893,0.3966,False
Include ethics,Practice skill set,-0.6025,-0.9455,-0.2596,True
Include ethics,Professional groups,-1.7823,-2.1253,-1.4394,True
Include ethics,Return communications within 48,0.142,-0.201,0.4849,False
Include ethics,Review literature,-0.388,-0.731,-0.045,True
Include ethics,Review supervision contract,0.0252,-0.3177,0.3682,False
Include ethics,Schedule contacts,-0.3155,-0.6584,0.0275,False
Include ethics,Schedule direct observations,-0.0442,-0.3871,0.2988,False
Include ethics,Schedule standing appointments,-0.4606,-0.8035,-0.1176,True
Include ethics,Seek mentorship,-1.0095,-1.3524,-0.6665,True
Include ethics,Self-assess interpersonal skills,-0.1798,-0.5228,0.1632,False
Include ethics,Send agenda,-2.0347,-2.3777,-1.6917,True
Include ethics,Supervision fidelity,-1.9211,-2.2641,-1.5782,True
Include ethics,Supervision schedule,-1.3628,-1.7057,-1.0198,True
Include ethics,Supervision termination clause,0.1987,-0.1442,0.5417,False
Include ethics,Supervisory study groups,-2.3091,-2.6521,-1.9662,True
Include ethics,Take baseline,-1.47,-1.813,-1.1271,True
Include ethics,Training and supervision,-0.1631,-0.7268,0.4006,False
Include ethics,Written evaluation system,-0.9937,-1.3367,-0.6507,True
Include ethics,Written supervision contract,0.2303,-0.1127,0.5733,False
Instructions and demonstration,Literature for new competency,-0.5079,-0.8509,-0.1649,True
Instructions and demonstration,Maintain positive rapport,0.3312,-0.0117,0.6742,False
Instructions and demonstration,Meeting notes,-1.0,-1.343,-0.657,True
Instructions and demonstration,Observe body language,-0.1356,-0.4786,0.2073,False
Instructions and demonstration,Participate in peer review,-1.2272,-1.6486,-0.8058,True
Instructions and demonstration,Peer evaluate,-2.3091,-2.6521,-1.9662,True
Instructions and demonstration,Performance expectations,0.0252,-0.3177,0.3682,False
Instructions and demonstration,Positive and corrective feedback,0.1924,-0.1505,0.5354,False
Instructions and demonstration,Practice skill set,-0.4637,-0.8067,-0.1208,True
Instructions and demonstration,Professional groups,-1.6435,-1.9865,-1.3006,True
Instructions and demonstration,Return communications within 48,0.2808,-0.0622,0.6237,False
Instructions and demonstration,Review literature,-0.2492,-0.5922,0.0938,False
Instructions and demonstration,Review supervision contract,0.164,-0.1789,0.507,False
Instructions and demonstration,Schedule contacts,-0.1767,-0.5196,0.1663,False
Instructions and demonstration,Schedule direct observations,0.0946,-0.2483,0.4376,False
Instructions and demonstration,Schedule standing appointments,-0.3218,-0.6647,0.0212,False
Instructions and demonstration,Seek mentorship,-0.8707,-1.2136,-0.5277,True
Instructions and demonstration,Self-assess interpersonal skills,-0.041,-0.384,0.302,False
Instructions and demonstration,Send agenda,-1.8959,-2.2389,-1.5529,True
Instructions and demonstration,Supervision fidelity,-1.7823,-2.1253,-1.4394,True
Instructions and demonstration,Supervision schedule,-1.224,-1.5669,-0.881,True
Instructions and demonstration,Supervision termination clause,0.3375,-0.0054,0.6805,False
Instructions and demonstration,Supervisory study groups,-2.1703,-2.5133,-1.8274,True
Instructions and demonstration,Take baseline,-1.3312,-1.6742,-0.9883,True
Instructions and demonstration,Training and supervision,-0.0243,-0.588,0.5394,False
Instructions and demonstration,Written evaluation system,-0.8549,-1.1979,-0.5119,True
Instructions and demonstration,Written supervision contract,0.3691,0.0261,0.7121,True
Literature for new competency,Maintain positive rapport,0.8391,0.4961,1.1821,True
Literature for new competency,Meeting notes,-0.4921,-0.8351,-0.1491,True
Literature for new competency,Observe body language,0.3722,0.0293,0.7152,True
Literature for new competency,Participate in peer review,-0.7193,-1.1407,-0.2979,True
Literature for new competency,Peer evaluate,-1.8013,-2.1442,-1.4583,True
Literature for new competency,Performance expectations,0.5331,0.1902,0.8761,True
Literature for new competency,Positive and corrective feedback,0.7003,0.3573,1.0433,True
Literature for new competency,Practice skill set,0.0442,-0.2988,0.3871,False
Literature for new competency,Professional groups,-1.1356,-1.4786,-0.7927,True
Literature for new competency,Return communications within 48,0.7886,0.4457,1.1316,True
Literature for new competency,Review literature,0.2587,-0.0843,0.6016,False
Literature for new competency,Review supervision contract,0.6719,0.329,1.0149,True
Literature for new competency,Schedule contacts,0.3312,-0.0117,0.6742,False
Literature for new competency,Schedule direct observations,0.6025,0.2596,0.9455,True
Literature for new competency,Schedule standing appointments,0.1861,-0.1569,0.5291,False
Literature for new competency,Seek mentorship,-0.3628,-0.7057,-0.0198,True
Literature for new competency,Self-assess interpersonal skills,0.4669,0.1239,0.8098,True
Literature for new competency,Send agenda,-1.388,-1.731,-1.045,True
Literature for new competency,Supervision fidelity,-1.2744,-1.6174,-0.9315,True
Literature for new competency,Supervision schedule,-0.7161,-1.0591,-0.3731,True
Literature for new competency,Supervision termination clause,0.8454,0.5025,1.1884,True
Literature for new competency,Supervisory study groups,-1.6625,-2.0054,-1.3195,True
Literature for new competency,Take baseline,-0.8233,-1.1663,-0.4804,True
Literature for new competency,Training and supervision,0.4836,-0.0801,1.0473,False
Literature for new competency,Written evaluation system,-0.347,-0.69,-0.004,True
Literature for new competency,Written supervision contract,0.877,0.534,1.2199,True
Maintain positive rapport,Meeting notes,-1.3312,-1.6742,-0.9883,True
Maintain positive rapport,Observe body language,-0.4669,-0.8098,-0.1239,True
Maintain positive rapport,Participate in peer review,-1.5584,-1.9798,-1.1371,True
Maintain positive rapport,Peer evaluate,-2.6404,-2.9833,-2.2974,True
Maintain positive rapport,Performance expectations,-0.306,-0.649,0.037,False
Maintain positive rapport,Positive and corrective feedback,-0.1388,-0.4818,0.2042,False
Maintain positive rapport,Practice skill set,-0.795,-1.1379,-0.452,True
Maintain positive rapport,Professional groups,-1.9748,-2.3177,-1.6318,True
Maintain positive rapport,Return communications within 48,-0.0505,-0.3934,0.2925,False
Maintain positive rapport,Review literature,-0.5804,-0.9234,-0.2375,True
Maintain positive rapport,Review supervision contract,-0.1672,-0.5102,0.1758,False
Maintain positive rapport,Schedule contacts,-0.5079,-0.8509,-0.1649,True
Maintain positive rapport,Schedule direct observations,-0.2366,-0.5796,0.1064,False
Maintain positive rapport,Schedule standing appointments,-0.653,-0.996,-0.31,True
Maintain positive rapport,Seek mentorship,-1.2019,-1.5449,-0.8589,True
Maintain positive rapport,Self-assess interpersonal skills,-0.3722,-0.7152,-0.0293,True
Maintain positive rapport,Send agenda,-2.2271,-2.5701,-1.8842,True
Maintain positive rapport,Supervision fidelity,-2.1136,-2.4565,-1.7706,True
Maintain positive rapport,Supervision schedule,-1.5552,-1.8982,-1.2122,True
Maintain positive rapport,Supervision termination clause,0.0063,-0.3367,0.3493,False
Maintain positive rapport,Supervisory study groups,-2.5016,-2.8445,-2.1586,True
Maintain positive rapport,Take baseline,-1.6625,-2.0054,-1.3195,True
Maintain positive rapport,Training and supervision,-0.3555,-0.9192,0.2082,False
Maintain positive rapport,Written evaluation system,-1.1861,-1.5291,-0.8431,True
Maintain positive rapport,Written supervision contract,0.0379,-0.3051,0.3808,False
Meeting notes,Observe body language,0.8644,0.5214,1.2073,True
Meeting notes,Participate in peer review,-0.2272,-0.6486,0.1942,False
Meeting notes,Peer evaluate,-1.3091,-1.6521,-0.9662,True
Meeting notes,Performance expectations,1.0252,0.6823,1.3682,True
Meeting notes,Positive and corrective feedback,1.1924,0.8495,1.5354,True
Meeting notes,Practice skill set,0.5363,0.1933,0.8792,True
Meeting notes,Professional groups,-0.6435,-0.9865,-0.3006,True
Meeting notes,Return communications within 48,1.2808,0.9378,1.6237,True
Meeting notes,Review literature,0.7508,0.4078,1.0938,True
Meeting notes,Review supervision contract,1.164,0.8211,1.507,True
Meeting notes,Schedule contacts,0.8233,0.4804,1.1663,True
Meeting notes,Schedule direct observations,1.0946,0.7517,1.4376,True
Meeting notes,Schedule standing appointments,0.6782,0.3353,1.0212,True
Meeting notes,Seek mentorship,0.1293,-0.2136,0.4723,False
Meeting notes,Self-assess interpersonal skills,0.959,0.616,1.302,True
Meeting notes,Send agenda,-0.8959,-1.2389,-0.5529,True
Meeting notes,Supervision fidelity,-0.7823,-1.1253,-0.4394,True
Meeting notes,Supervision schedule,-0.224,-0.5669,0.119,False
Meeting notes,Supervision termination clause,1.3375,0.9946,1.6805,True
Meeting notes,Supervisory study groups,-1.1703,-1.5133,-0.8274,True
Meeting notes,Take baseline,-0.3312,-0.6742,0.0117,False
Meeting notes,Training and supervision,0.9757,0.412,1.5394,True
Meeting notes,Written evaluation system,0.1451,-0.1979,0.4881,False
Meeting notes,Written supervision contract,1.3691,1.0261,1.7121,True
Observe body language,Participate in peer review,-1.0916,-1.5129,-0.6702,True
Observe body language,Peer evaluate,-2.1735,-2.5165,-1.8305,True
Observe body language,Performance expectations,0.1609,-0.1821,0.5039,False
Observe body language,Positive and corrective feedback,0.3281,-0.0149,0.671,False
Observe body language,Practice skill set,-0.3281,-0.671,0.0149,False
Observe body language,Professional groups,-1.5079,-1.8509,-1.1649,True
Observe body language,Return communications within 48,0.4164,0.0734,0.7594,True
Observe body language,Review literature,-0.1136,-0.4565,0.2294,False
Observe body language,Review supervision contract,0.2997,-0.0433,0.6427,False
Observe body language,Schedule contacts,-0.041,-0.384,0.302,False
Observe body language,Schedule direct observations,0.2303,-0.1127,0.5733,False
Observe body language,Schedule standing appointments,-0.1861,-0.5291,0.1569,False
Observe body language,Seek mentorship,-0.735,-1.078,-0.392,True
Observe body language,Self-assess interpersonal skills,0.0946,-0.2483,0.4376,False
Observe body language,Send agenda,-1.7603,-2.1032,-1.4173,True
Observe body language,Supervision fidelity,-1.6467,-1.9897,-1.3037,True
Observe body language,Supervision schedule,-1.0883,-1.4313,-0.7454,True
Observe body language,Supervision termination clause,0.4732,0.1302,0.8162,True
Observe body language,Supervisory study groups,-2.0347,-2.3777,-1.6917,True
Observe body language,Take baseline,-1.1956,-1.5386,-0.8526,True
Observe body language,Training and supervision,0.1114,-0.4523,0.6751,False
Observe body language,Written evaluation system,-0.7192,-1.0622,-0.3763,True
Observe body language,Written supervision contract,0.5047,0.1618,0.8477,True
Participate in peer review,Peer evaluate,-1.0819,-1.5033,-0.6606,True
Participate in peer review,Performance expectations,1.2524,0.8311,1.6738,True
Participate in peer review,Positive and corrective feedback,1.4196,0.9983,1.841,True
Participate in peer review,Practice skill set,0.7635,0.3421,1.1849,True
Participate in peer review,Professional groups,-0.4163,-0.8377,0.0051,False
Participate in peer review,Return communications within 48,1.508,1.0866,1.9294,True
Participate in peer review,Review literature,0.978,0.5566,1.3994,True
Participate in peer review,Review supervision contract,1.3912,0.9699,1.8126,True
Participate in peer review,Schedule contacts,1.0506,0.6292,1.4719,True
Participate in peer review,Schedule direct observations,1.3218,0.9005,1.7432,True
Participate in peer review,Schedule standing appointments,0.9054,0.4841,1.3268,True
Participate in peer review,Seek mentorship,0.3565,-0.0648,0.7779,False
Participate in peer review,Self-assess interpersonal skills,1.1862,0.7648,1.6076,True
Participate in peer review,Send agenda,-0.6687,-1.0901,-0.2473,True
Participate in peer review,Supervision fidelity,-0.5551,-0.9765,-0.1337,True
Participate in peer review,Supervision schedule,0.0032,-0.4182,0.4246,False
Participate in peer review,Supervision termination clause,1.5647,1.1434,1.9861,True
Participate in peer review,Supervisory study groups,-0.9431,-1.3645,-0.5218,True
Participate in peer review,Take baseline,-0.104,-0.5254,0.3174,False
Participate in peer review,Training and supervision,1.2029,0.5884,1.8175,True
Participate in peer review,Written evaluation system,0.3723,-0.0491,0.7937,False
Participate in peer review,Written supervision contract,1.5963,1.1749,2.0177,True
Peer evaluate,Performance expectations,2.3344,1.9914,2.6774,True
Peer evaluate,Positive and corrective feedback,2.5016,2.1586,2.8445,True
Peer evaluate,Practice skill set,1.8454,1.5025,2.1884,True
Peer evaluate,Professional groups,0.6656,0.3226,1.0086,True
Peer evaluate,Return communications within 48,2.5899,2.2469,2.9329,True
Peer evaluate,Review literature,2.0599,1.717,2.4029,True
